DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2022,19,19,19,0.0,5.48706,29.28529,35.52353,2.0,3.0,0.092,4.0,False,1.0
44,2,2022,19,19,19,0.0,5.48706,29.28529,35.52353,3.0,5.0,0.591,6.0,False,2.0
16,3,2022,19,19,19,0.0,5.48706,29.28529,35.52353,12.0,2.0,0.065,1.0,False,3.0
11,1,2022,19,19,19,0.0,5.48706,29.28529,35.52353,9.0,4.0,0.289,3.0,False,4.0
63,2,2022,19,19,19,0.0,5.48706,29.28529,35.52353,4.0,6.0,0.632,5.0,False,5.0
4,4,2022,19,19,19,0.0,5.48706,29.28529,35.52353,6.0,8.0,1.334,17.0,False,6.0
14,5,2022,19,19,19,0.0,5.48706,29.28529,35.52353,14.0,9.0,1.52,18.0,False,7.0
5,10,2022,19,19,19,0.0,5.48706,29.28529,35.52353,10.0,12.0,2.042,7.0,False,8.0
20,8,2022,19,19,19,0.0,5.48706,29.28529,35.52353,13.0,16.0,2.593,19.0,False,9.0
22,6,2022,19,19,19,0.0,5.48706,29.28529,35.52353,19.0,15.0,2.791,13.0,False,10.0
31,5,2022,19,19,19,0.0,5.48706,29.28529,35.52353,0.0,18.0,2.7119999999999997,9.0,False,11.0
24,7,2022,19,19,19,0.0,5.48706,29.28529,35.52353,18.0,14.0,2.614,10.0,False,12.0
23,9,2022,19,19,19,0.0,5.48706,29.28529,35.52353,8.0,11.0,2.012,20.0,False,13.0
10,6,2022,19,19,19,0.0,5.48706,29.28529,35.52353,11.0,13.0,2.384,15.0,False,14.0
47,8,2022,19,19,19,0.0,5.48706,29.28529,35.52353,16.0,19.0,2.755,16.0,False,15.0
3,4,2022,19,19,19,0.0,5.48706,29.28529,35.52353,15.0,17.0,2.69,8.0,False,16.0
6,9,2022,19,19,19,0.0,5.48706,29.28529,35.52353,17.0,20.0,2.888,11.0,False,17.0
18,10,2022,19,19,19,0.0,5.48706,29.28529,35.52353,5.0,7.0,1.242,12.0,True,18.0
77,7,2022,19,19,19,0.0,5.48706,29.28529,35.52353,7.0,10.0,1.963,14.0,True,19.0
55,3,2022,19,19,19,0.0,5.48706,29.28529,35.52353,1.0,1.0,0.0,2.0,True,20.0
