FullName,TeamName,Season,RoundNumber,RacesInGEEra,Location,Rain,WindSpeed,AirTemp,TrackTemp,QualifyingPos,StartingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
Max Verstappen,Red Bull Racing,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,3.0,3.0,0 days 00:00:00.347000,2.0,False,1.0
Sergio Perez,Red Bull Racing,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,2.0,2.0,0 days 00:00:00.282000,3.0,False,2.0
George Russell,Mercedes,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,5.0,5.0,0 days 00:00:01.353000,7.0,False,3.0
Lewis Hamilton,Mercedes,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,7.0,7.0,0 days 00:00:01.565000,5.0,False,4.0
Pierre Gasly,AlphaTauri,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,6.0,6.0,0 days 00:00:01.486000,8.0,False,5.0
Sebastian Vettel,Aston Martin,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,9.0,9.0,0 days 00:00:01.732000,19.0,False,6.0
Fernando Alonso,Alpine,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,10.0,10.0,0 days 00:00:01.814000,13.0,False,7.0
Daniel Ricciardo,McLaren,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,12.0,12.0,0 days 00:00:02.215000,11.0,False,8.0
Lando Norris,McLaren,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,11.0,11.0,0 days 00:00:02.039000,12.0,False,9.0
Esteban Ocon,Alpine,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,13.0,13.0,0 days 00:00:02.226000,10.0,False,10.0
Valtteri Bottas,Alfa Romeo,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,15.0,15.0,0 days 00:00:03.085000,14.0,True,11.0
Yuki Tsunoda,AlphaTauri,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,8.0,8.0,0 days 00:00:01.697000,6.0,True,13.0
Mick Schumacher,Haas F1 Team,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,20.0,20.0,0 days 00:00:04.416000,16.0,True,14.0
Nicholas Latifi,Williams,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,18.0,18.0,0 days 00:00:04.008000,17.0,True,15.0
Lance Stroll,Aston Martin,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,19.0,19.0,0 days 00:00:04.012000,9.0,True,16.0
Kevin Magnussen,Haas F1 Team,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,16.0,16.0,0 days 00:00:03.284000,20.0,True,17.0
Guanyu Zhou,Alfa Romeo,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,14.0,14.0,0 days 00:00:02.431000,15.0,True,18.0
Charles Leclerc,Ferrari,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,1.0,1.0,0 days 00:00:00,4.0,True,19.0
Carlos Sainz,Ferrari,2022,8,8,Baku,0.0,1.52919,25.4354,47.14969,4.0,4.0,0 days 00:00:00.455000,1.0,True,20.0
