DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,4.0,4.0,0.261,1.0,False,1.0
1,3,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,2.0,2.0,0.025,3.0,False,2.0
2,3,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,3.0,3.0,0.202,2.0,False,3.0
18,1,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,1.0,1.0,0.0,4.0,False,4.0
4,2,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,6.0,6.0,0.904,16.0,False,5.0
7,5,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,5.0,5.0,0.868,7.0,False,6.0
15,4,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,11.0,11.0,1.451,12.0,False,7.0
20,6,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,9.0,9.0,1.054,20.0,False,8.0
5,8,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,10.0,10.0,1.388,14.0,False,9.0
3,2,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,15.0,16.0,2.143,6.0,False,10.0
10,7,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,12.0,13.0,1.619,8.0,False,11.0
17,10,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,17.0,18.0,2.343,15.0,False,12.0
12,10,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,13.0,15.0,2.809,18.0,True,13.0
13,9,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,16.0,17.0,2.292,19.0,True,14.0
6,7,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,8.0,8.0,0.983,13.0,True,15.0
9,5,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,7.0,7.0,0.947,5.0,True,16.0
14,4,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,14.0,12.0,1.573,11.0,True,17.0
16,9,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,18.0,19.0,3.617,17.0,True,18.0
8,6,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,19.0,20.0,88.2,9.0,True,19.0
11,8,2022,2,2,2,0.0,0.0,21.599999999999998,23.675,57.25,nan,14.0,1.72,10.0,True,nan
