DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2022,12,12,12,0.0,1.94609,30.16484,54.46172,2.0,2.0,0.304,3.0,False,1.0
44,2,2022,12,12,12,0.0,1.94609,30.16484,54.46172,4.0,4.0,0.893,6.0,False,2.0
63,2,2022,12,12,12,0.0,1.94609,30.16484,54.46172,6.0,6.0,1.259,4.0,False,3.0
11,1,2022,12,12,12,0.0,1.94609,30.16484,54.46172,3.0,3.0,0.463,2.0,False,4.0
55,3,2022,12,12,12,0.0,1.94609,30.16484,54.46172,19.0,9.0,0.209,1.0,False,5.0
14,5,2022,12,12,12,0.0,1.94609,30.16484,54.46172,7.0,7.0,1.6800000000000002,12.0,False,6.0
4,4,2022,12,12,12,0.0,1.94609,30.16484,54.46172,5.0,5.0,1.16,11.0,False,7.0
31,5,2022,12,12,12,0.0,1.94609,30.16484,54.46172,10.0,12.0,2.176,7.0,False,8.0
3,4,2022,12,12,12,0.0,1.94609,30.16484,54.46172,9.0,11.0,2.05,5.0,False,9.0
18,10,2022,12,12,12,0.0,1.94609,30.16484,54.46172,15.0,17.0,2.567,14.0,False,10.0
5,10,2022,12,12,12,0.0,1.94609,30.16484,54.46172,12.0,14.0,2.404,17.0,False,11.0
10,6,2022,12,12,12,0.0,1.94609,30.16484,54.46172,14.0,16.0,2.567,8.0,False,12.0
23,9,2022,12,12,12,0.0,1.94609,30.16484,54.46172,13.0,15.0,2.435,20.0,False,13.0
77,7,2022,12,12,12,0.0,1.94609,30.16484,54.46172,11.0,13.0,2.18,18.0,False,14.0
47,8,2022,12,12,12,0.0,1.94609,30.16484,54.46172,17.0,19.0,2.8289999999999997,10.0,False,15.0
24,7,2022,12,12,12,0.0,1.94609,30.16484,54.46172,16.0,18.0,2.802,13.0,True,16.0
6,9,2022,12,12,12,0.0,1.94609,30.16484,54.46172,18.0,20.0,2.922,15.0,True,17.0
20,8,2022,12,12,12,0.0,1.94609,30.16484,54.46172,20.0,10.0,1.7770000000000001,19.0,True,18.0
16,3,2022,12,12,12,0.0,1.94609,30.16484,54.46172,1.0,1.0,0.0,9.0,True,19.0
22,6,2022,12,12,12,0.0,1.94609,30.16484,54.46172,8.0,8.0,1.908,16.0,True,20.0
