DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
16,3,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,1.0,1.0,0.0,9.0,False,1.0
11,1,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,3.0,3.0,0.372,2.0,False,2.0
63,2,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,6.0,6.0,1.065,5.0,False,3.0
44,2,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,5.0,5.0,0.957,6.0,False,4.0
4,4,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,4.0,4.0,0.835,7.0,False,5.0
3,4,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,7.0,7.0,1.164,4.0,False,6.0
31,5,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,8.0,8.0,1.193,10.0,False,7.0
77,7,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,12.0,12.0,1.542,14.0,False,8.0
10,6,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,11.0,11.0,1.358,13.0,False,9.0
23,9,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,20.0,16.0,2.267,19.0,False,10.0
24,7,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,14.0,14.0,2.287,12.0,False,11.0
18,10,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,19.0,20.0,77.868,18.0,False,12.0
47,8,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,15.0,15.0,2.597,17.0,True,13.0
20,8,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,16.0,17.0,2.386,15.0,True,14.0
22,6,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,13.0,13.0,1.556,11.0,True,15.0
6,9,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,18.0,19.0,3.504,16.0,True,16.0
14,5,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,10.0,10.0,0.947,8.0,True,17.0
1,1,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,2.0,2.0,0.286,3.0,True,18.0
5,10,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,17.0,18.0,3.281,20.0,True,19.0
55,3,2022,3,3,3,0.0,0.0,9.549999999999999,25.0,37.25,9.0,9.0,1.54,1.0,True,20.0
