DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,3.0,3.0,0.195,4.0,False,1.0
16,3,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,1.0,1.0,0.0,2.0,False,2.0
55,3,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,2.0,2.0,0.19,1.0,False,3.0
11,1,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,4.0,4.0,0.24,3.0,False,4.0
63,2,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,12.0,12.0,1.377,6.0,False,5.0
44,2,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,6.0,6.0,0.829,12.0,False,6.0
77,7,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,5.0,5.0,0.679,17.0,False,7.0
31,5,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,20.0,20.0,88.796,11.0,False,8.0
23,9,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,18.0,18.0,2.4699999999999998,19.0,False,9.0
18,10,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,0.0,10.0,1.88,13.0,False,10.0
14,5,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,11.0,11.0,1.3639999999999999,20.0,False,11.0
22,6,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,9.0,9.0,1.1360000000000001,7.0,False,12.0
3,4,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,14.0,14.0,1.514,8.0,False,13.0
6,9,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,19.0,19.0,2.529,18.0,False,14.0
47,8,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,15.0,15.0,1.627,16.0,False,15.0
20,8,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,16.0,16.0,2.179,15.0,True,16.0
5,10,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,0.0,13.0,1.418,10.0,True,17.0
10,6,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,7.0,7.0,0.894,9.0,True,18.0
4,4,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,8.0,8.0,0.954,14.0,True,19.0
24,7,2022,5,5,5,0.0,0.0,7.8,35.225,58.25,17.0,17.0,2.224,5.0,True,20.0
