DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,7.0,2.0,0.145,4.0,False,1.0
1,3,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,1.0,1.0,0.0,3.0,False,2.0
4,2,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,2.0,6.0,1.381,5.0,False,3.0
2,3,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,18.0,3.0,0.268,1.0,False,4.0
3,2,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,19.0,5.0,1.363,6.0,False,5.0
18,1,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,13.0,4.0,1.045,2.0,False,6.0
15,4,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,3.0,7.0,1.423,8.0,False,7.0
20,6,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,5.0,9.0,2.487,15.0,False,8.0
22,9,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,8.0,13.0,2.31,16.0,False,9.0
10,7,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,9.0,14.0,2.416,12.0,False,10.0
7,5,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,14.0,11.0,1.9689999999999999,10.0,False,11.0
11,8,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,17.0,20.0,2.844,19.0,False,12.0
6,7,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,15.0,12.0,2.074,14.0,True,13.0
8,6,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,20.0,15.0,1.859,9.0,True,14.0
16,9,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,10.0,16.0,2.426,13.0,True,15.0
5,8,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,16.0,19.0,2.747,20.0,True,16.0
14,4,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,4.0,8.0,1.764,7.0,True,17.0
12,10,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,12.0,18.0,2.5869999999999997,17.0,True,18.0
9,5,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,6.0,10.0,1.7,11.0,True,19.0
21,10,2022,16,16,16,0.0,0.0,4.775,25.525000000000002,32.25,11.0,17.0,2.475,18.0,True,20.0
