DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
16,3,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,1.0,1.0,0.0,3.0,False,1.0
55,3,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,3.0,3.0,0.129,1.0,False,2.0
44,2,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,5.0,5.0,0.68,9.0,False,3.0
63,2,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,9.0,9.0,1.658,5.0,False,4.0
20,8,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,7.0,7.0,1.25,12.0,False,5.0
77,7,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,6.0,6.0,1.002,15.0,False,6.0
31,5,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,11.0,11.0,1.224,8.0,False,7.0
22,6,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,16.0,16.0,2.192,10.0,False,8.0
14,5,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,8.0,8.0,1.637,11.0,False,9.0
24,7,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,15.0,15.0,2.985,6.0,False,10.0
47,8,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,12.0,12.0,1.44,7.0,False,11.0
18,10,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,19.0,19.0,2.474,17.0,False,12.0
23,9,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,14.0,14.0,2.106,20.0,False,13.0
3,4,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,18.0,18.0,2.387,13.0,False,14.0
4,4,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,13.0,13.0,1.45,18.0,False,15.0
6,9,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,20.0,20.0,3.076,14.0,False,16.0
27,10,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,17.0,17.0,2.219,19.0,False,17.0
11,1,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,4.0,4.0,0.363,2.0,True,18.0
1,1,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,2.0,2.0,0.123,4.0,True,19.0
10,6,2022,1,1,1,0.0,0.0,16.275000000000002,18.5,52.25,10.0,10.0,1.78,16.0,True,20.0
