DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2022,22,22,22,0.0,2.60839,28.57548,34.31032,1.0,1.0,0.0,2.0,False,1.0
16,3,2022,22,22,22,0.0,2.60839,28.57548,34.31032,3.0,3.0,0.268,4.0,False,2.0
11,1,2022,22,22,22,0.0,2.60839,28.57548,34.31032,2.0,2.0,0.228,1.0,False,3.0
55,3,2022,22,22,22,0.0,2.60839,28.57548,34.31032,4.0,4.0,0.418,3.0,False,4.0
63,2,2022,22,22,22,0.0,2.60839,28.57548,34.31032,6.0,6.0,0.687,5.0,False,5.0
4,4,2022,22,22,22,0.0,2.60839,28.57548,34.31032,7.0,7.0,0.945,10.0,False,6.0
31,5,2022,22,22,22,0.0,2.60839,28.57548,34.31032,8.0,8.0,1.006,11.0,False,7.0
18,10,2022,22,22,22,0.0,2.60839,28.57548,34.31032,14.0,14.0,1.5350000000000001,9.0,False,8.0
3,4,2022,22,22,22,0.0,2.60839,28.57548,34.31032,13.0,10.0,1.221,7.0,False,9.0
5,10,2022,22,22,22,0.0,2.60839,28.57548,34.31032,9.0,9.0,1.137,14.0,False,10.0
22,6,2022,22,22,22,0.0,2.60839,28.57548,34.31032,11.0,12.0,1.395,17.0,False,11.0
24,7,2022,22,22,22,0.0,2.60839,28.57548,34.31032,15.0,15.0,1.584,18.0,True,12.0
23,9,2022,22,22,22,0.0,2.60839,28.57548,34.31032,19.0,19.0,2.204,20.0,True,13.0
10,6,2022,22,22,22,0.0,2.60839,28.57548,34.31032,17.0,17.0,2.035,12.0,True,14.0
77,7,2022,22,22,22,0.0,2.60839,28.57548,34.31032,18.0,18.0,2.068,15.0,True,15.0
47,8,2022,22,22,22,0.0,2.60839,28.57548,34.31032,12.0,13.0,1.401,16.0,True,16.0
20,8,2022,22,22,22,0.0,2.60839,28.57548,34.31032,16.0,16.0,2.01,13.0,True,17.0
44,2,2022,22,22,22,0.0,2.60839,28.57548,34.31032,5.0,5.0,0.684,6.0,True,18.0
6,9,2022,22,22,22,0.0,2.60839,28.57548,34.31032,20.0,20.0,2.23,19.0,True,19.0
14,5,2022,22,22,22,0.0,2.60839,28.57548,34.31032,10.0,11.0,1.272,8.0,True,20.0
