DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2022,15,15,15,0.0,1.06196,22.73006,33.44601,1.0,1.0,0.0,5.0,False,1.0
63,2,2022,15,15,15,0.0,1.06196,22.73006,33.44601,6.0,6.0,0.805,4.0,False,2.0
16,3,2022,15,15,15,0.0,1.06196,22.73006,33.44601,2.0,2.0,0.021,3.0,False,3.0
44,2,2022,15,15,15,0.0,1.06196,22.73006,33.44601,4.0,4.0,0.306,6.0,False,4.0
11,1,2022,15,15,15,0.0,1.06196,22.73006,33.44601,5.0,5.0,0.735,1.0,False,5.0
14,5,2022,15,15,15,0.0,1.06196,22.73006,33.44601,13.0,13.0,1.271,12.0,False,6.0
4,4,2022,15,15,15,0.0,1.06196,22.73006,33.44601,7.0,7.0,0.832,17.0,False,7.0
55,3,2022,15,15,15,0.0,1.06196,22.73006,33.44601,3.0,3.0,0.092,2.0,False,8.0
31,5,2022,15,15,15,0.0,1.06196,22.73006,33.44601,12.0,12.0,1.263,13.0,False,9.0
18,10,2022,15,15,15,0.0,1.06196,22.73006,33.44601,10.0,10.0,1.074,19.0,False,10.0
10,6,2022,15,15,15,0.0,1.06196,22.73006,33.44601,11.0,11.0,1.17,9.0,False,11.0
23,9,2022,15,15,15,0.0,1.06196,22.73006,33.44601,15.0,15.0,1.46,20.0,False,12.0
47,8,2022,15,15,15,0.0,1.06196,22.73006,33.44601,8.0,8.0,1.1,18.0,False,13.0
5,10,2022,15,15,15,0.0,1.06196,22.73006,33.44601,19.0,19.0,2.049,10.0,False,14.0
20,8,2022,15,15,15,0.0,1.06196,22.73006,33.44601,18.0,18.0,1.9769999999999999,8.0,False,15.0
24,7,2022,15,15,15,0.0,1.06196,22.73006,33.44601,14.0,14.0,1.362,16.0,False,16.0
3,4,2022,15,15,15,0.0,1.06196,22.73006,33.44601,17.0,17.0,1.7389999999999999,7.0,False,17.0
6,9,2022,15,15,15,0.0,1.06196,22.73006,33.44601,20.0,20.0,3.011,15.0,True,18.0
77,7,2022,15,15,15,0.0,1.06196,22.73006,33.44601,16.0,16.0,1.619,14.0,True,19.0
22,6,2022,15,15,15,0.0,1.06196,22.73006,33.44601,9.0,9.0,2.214,11.0,True,20.0
