DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,6.0,6.0,0.358,9.0,False,1.0
4,4,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,2.0,2.0,0.13,10.0,False,2.0
55,3,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,4.0,4.0,0.222,1.0,False,3.0
11,1,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,9.0,9.0,0.45,6.0,False,4.0
63,2,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,5.0,5.0,0.356,3.0,False,5.0
10,5,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,7.0,7.0,0.366,8.0,False,6.0
18,10,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,20.0,19.0,1.866,17.0,False,7.0
22,6,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,11.0,11.0,0.974,15.0,False,8.0
23,9,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,15.0,18.0,1.592,20.0,False,9.0
2,9,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,16.0,20.0,2.104,18.0,False,10.0
27,8,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,18.0,16.0,1.512,14.0,False,11.0
77,7,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,13.0,13.0,1.135,12.0,False,12.0
24,7,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,12.0,12.0,0.975,13.0,False,13.0
20,8,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,17.0,14.0,1.157,16.0,False,14.0
3,6,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,14.0,15.0,1.251,11.0,False,15.0
14,10,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,19.0,17.0,1.545,19.0,True,16.0
81,4,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,10.0,10.0,0.744,2.0,True,17.0
31,5,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,8.0,8.0,0.431,7.0,True,18.0
44,2,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,3.0,3.0,0.139,5.0,True,19.0
16,3,2023,18,40,19,0.0,0.0,18.625,30.625,48.0,1.0,1.0,0.0,4.0,True,20.0
