DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
11,1,2023,4,26,8,0.0,1.08313,24.86062,41.21,3.0,3.0,0.292,2.0,False,1.0
1,1,2023,4,26,8,0.0,1.08313,24.86062,41.21,2.0,2.0,0.188,3.0,False,2.0
16,3,2023,4,26,8,0.0,1.08313,24.86062,41.21,1.0,1.0,0.0,4.0,False,3.0
14,10,2023,4,26,8,0.0,1.08313,24.86062,41.21,6.0,6.0,1.05,9.0,False,4.0
55,3,2023,4,26,8,0.0,1.08313,24.86062,41.21,4.0,4.0,0.813,1.0,False,5.0
44,2,2023,4,26,8,0.0,1.08313,24.86062,41.21,5.0,5.0,0.974,11.0,False,6.0
18,10,2023,4,26,8,0.0,1.08313,24.86062,41.21,9.0,9.0,1.408,6.0,False,7.0
63,2,2023,4,26,8,0.0,1.08313,24.86062,41.21,11.0,11.0,1.451,5.0,False,8.0
4,4,2023,4,26,8,0.0,1.08313,24.86062,41.21,7.0,7.0,1.078,10.0,False,9.0
22,6,2023,4,26,8,0.0,1.08313,24.86062,41.21,8.0,8.0,1.3780000000000001,20.0,False,10.0
81,4,2023,4,26,8,0.0,1.08313,24.86062,41.21,10.0,10.0,1.408,7.0,False,11.0
23,9,2023,4,26,8,0.0,1.08313,24.86062,41.21,12.0,13.0,1.615,15.0,False,12.0
20,8,2023,4,26,8,0.0,1.08313,24.86062,41.21,16.0,18.0,3.214,17.0,False,13.0
10,5,2023,4,26,8,0.0,1.08313,24.86062,41.21,17.0,19.0,4.65,12.0,False,14.0
31,5,2023,4,26,8,0.0,1.08313,24.86062,41.21,19.0,12.0,1.595,19.0,False,15.0
2,9,2023,4,26,8,0.0,1.08313,24.86062,41.21,14.0,15.0,2.192,13.0,False,16.0
27,8,2023,4,26,8,0.0,1.08313,24.86062,41.21,20.0,17.0,2.552,18.0,False,17.0
77,7,2023,4,26,8,0.0,1.08313,24.86062,41.21,13.0,14.0,2.056,16.0,False,18.0
24,7,2023,4,26,8,0.0,1.08313,24.86062,41.21,15.0,16.0,2.439,14.0,True,19.0
21,6,2023,4,26,8,0.0,1.08313,24.86062,41.21,18.0,20.0,15.079,8.0,True,20.0
