DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2023,7,29,6,0.0,1.86948,22.67403,33.83896,1.0,1.0,0.0,11.0,False,1.0
44,2,2023,7,29,6,0.0,1.86948,22.67403,33.83896,4.0,5.0,0.546,12.0,False,2.0
63,2,2023,7,29,6,0.0,1.86948,22.67403,33.83896,12.0,12.0,1.175,5.0,False,3.0
11,1,2023,7,29,6,0.0,1.86948,22.67403,33.83896,11.0,11.0,1.062,1.0,False,4.0
55,3,2023,7,29,6,0.0,1.86948,22.67403,33.83896,2.0,2.0,0.462,19.0,False,5.0
18,10,2023,7,29,6,0.0,1.86948,22.67403,33.83896,5.0,6.0,0.722,9.0,False,6.0
14,10,2023,7,29,6,0.0,1.86948,22.67403,33.83896,8.0,9.0,1.2349999999999999,6.0,False,7.0
31,5,2023,7,29,6,0.0,1.86948,22.67403,33.83896,6.0,7.0,0.811,4.0,False,8.0
24,7,2023,7,29,6,0.0,1.86948,22.67403,33.83896,13.0,13.0,1.249,16.0,False,9.0
10,5,2023,7,29,6,0.0,1.86948,22.67403,33.83896,10.0,4.0,0.544,7.0,False,10.0
16,3,2023,7,29,6,0.0,1.86948,22.67403,33.83896,19.0,19.0,1.807,2.0,False,11.0
22,6,2023,7,29,6,0.0,1.86948,22.67403,33.83896,15.0,15.0,2.205,14.0,False,12.0
81,4,2023,7,29,6,0.0,1.86948,22.67403,33.83896,9.0,10.0,1.41,3.0,False,13.0
21,6,2023,7,29,6,0.0,1.86948,22.67403,33.83896,14.0,14.0,1.811,15.0,False,14.0
27,8,2023,7,29,6,0.0,1.86948,22.67403,33.83896,7.0,8.0,0.957,17.0,False,15.0
23,9,2023,7,29,6,0.0,1.86948,22.67403,33.83896,18.0,18.0,1.791,20.0,False,16.0
4,4,2023,7,29,6,0.0,1.86948,22.67403,33.83896,3.0,3.0,0.52,10.0,False,17.0
20,8,2023,7,29,6,0.0,1.86948,22.67403,33.83896,17.0,17.0,1.77,8.0,False,18.0
77,7,2023,7,29,6,0.0,1.86948,22.67403,33.83896,16.0,16.0,1.705,13.0,False,19.0
2,9,2023,7,29,6,0.0,1.86948,22.67403,33.83896,20.0,20.0,2.427,18.0,False,20.0
