DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,2.0,2.0,0.003,9.0,False,1.0
15,4,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,3.0,3.0,0.085,4.0,False,2.0
18,1,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,9.0,9.0,0.436,2.0,False,3.0
3,2,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,1.0,1.0,0.0,18.0,False,4.0
24,4,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,4.0,4.0,0.296,3.0,False,5.0
4,2,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,18.0,18.0,2.418,1.0,False,6.0
1,3,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,6.0,6.0,0.383,11.0,False,7.0
2,3,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,11.0,11.0,1.094,6.0,False,8.0
9,10,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,8.0,8.0,0.426,14.0,False,9.0
12,10,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,14.0,14.0,1.5350000000000001,8.0,False,10.0
13,9,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,16.0,16.0,2.308,20.0,False,11.0
6,7,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,7.0,7.0,0.425,5.0,False,12.0
14,6,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,13.0,13.0,1.393,17.0,False,13.0
17,8,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,10.0,10.0,0.577,19.0,False,14.0
8,6,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,17.0,17.0,2.31,13.0,False,15.0
10,7,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,5.0,5.0,0.362,7.0,False,16.0
5,8,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,19.0,19.0,2.597,10.0,False,17.0
23,9,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,20.0,20.0,2.6390000000000002,16.0,False,18.0
7,5,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,12.0,12.0,1.232,15.0,True,19.0
20,5,2023,11,33,13,0.0,0.0,13.275,28.0,37.5,15.0,15.0,1.608,12.0,True,20.0
