DriverNumber,FullName,TeamName,Season,RoundNumber,RacesInGEEra,Location,Rain,WindSpeed,AirTemp,TrackTemp,QualifyingPos,StartingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
11,Sergio Perez,1,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,1.0,1.0,0.0,15.0,False,1.0
1,Max Verstappen,1,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,15.0,15.0,21.688,1.0,False,2.0
14,Fernando Alonso,10,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,3.0,2.0,0.465,6.0,False,3.0
63,George Russell,2,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,4.0,3.0,0.592,8.0,False,4.0
44,Lewis Hamilton,2,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,8.0,7.0,0.958,4.0,False,5.0
55,Carlos Sainz,3,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,5.0,4.0,0.666,2.0,False,6.0
16,Charles Leclerc,3,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,2.0,12.0,0.155,5.0,False,7.0
31,Esteban Ocon,5,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,7.0,6.0,0.813,10.0,False,8.0
10,Pierre Gasly,5,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,10.0,9.0,1.092,7.0,False,9.0
20,Kevin Magnussen,8,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,13.0,13.0,1.369,11.0,False,10.0
22,Yuki Tsunoda,6,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,16.0,16.0,1.674,18.0,False,11.0
27,Nico Hulkenberg,8,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,11.0,10.0,1.186,13.0,False,12.0
24,Guanyu Zhou,7,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,12.0,11.0,1.196,14.0,False,13.0
21,Nyck De Vries,6,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,18.0,18.0,1.979,16.0,False,14.0
81,Oscar Piastri,4,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,9.0,8.0,0.978,19.0,False,15.0
2,Logan Sargeant,9,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,20.0,20.0,40.245,17.0,False,16.0
4,Lando Norris,4,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,19.0,19.0,2.182,9.0,False,17.0
77,Valtteri Bottas,7,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,14.0,14.0,1.403,12.0,False,18.0
23,Alexander Albon,9,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,17.0,17.0,1.729,20.0,True,19.0
18,Lance Stroll,10,2023,2,24,Jeddah,0.0,1.7723,26.09189,31.79257,6.0,5.0,0.68,3.0,True,20.0
