DriverNumber,FullName,TeamName,Season,RoundNumber,RacesInGEEra,Location,Rain,WindSpeed,AirTemp,TrackTemp,QualifyingPos,StartingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,Max Verstappen,1,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,3.0,2.0,0.378,12.0,False,1.0
16,Charles Leclerc,3,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,1.0,1.0,0.0,2.0,False,2.0
11,Sergio Perez,1,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,12.0,11.0,1.129,3.0,False,3.0
31,Esteban Ocon,5,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,17.0,16.0,2.108,5.0,False,4.0
18,Lance Stroll,10,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,14.0,19.0,1.4729999999999999,10.0,False,5.0
55,Carlos Sainz,3,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,2.0,12.0,0.044,1.0,False,6.0
44,Lewis Hamilton,2,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,11.0,10.0,1.111,4.0,False,7.0
63,George Russell,2,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,4.0,3.0,0.386,11.0,False,8.0
14,Fernando Alonso,10,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,10.0,9.0,0.829,14.0,False,9.0
81,Oscar Piastri,4,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,19.0,18.0,2.124,16.0,False,10.0
10,Pierre Gasly,5,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,5.0,4.0,0.513,17.0,False,11.0
23,Alexander Albon,9,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,6.0,5.0,0.597,7.0,False,12.0
20,Kevin Magnussen,8,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,9.0,8.0,0.811,13.0,False,13.0
3,Daniel Ricciardo,6,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,15.0,14.0,1.5819999999999999,20.0,False,14.0
24,Guanyu Zhou,7,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,18.0,17.0,2.123,8.0,False,15.0
2,Logan Sargeant,9,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,7.0,6.0,0.787,6.0,False,16.0
77,Valtteri Bottas,7,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,8.0,7.0,0.799,18.0,False,17.0
22,Yuki Tsunoda,6,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,20.0,20.0,3.721,15.0,False,18.0
27,Nico Hulkenberg,8,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,13.0,13.0,1.2530000000000001,9.0,False,19.0
4,Lando Norris,4,2023,21,43,Las Vegas,0.0,2.30093,18.05,17.99444,16.0,15.0,1.9769999999999999,19.0,True,20.0
