DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,1.0,1.0,0.0,13.0,False,1.0
24,4,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,6.0,6.0,0.762,10.0,False,2.0
15,4,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,10.0,10.0,0.907,6.0,False,3.0
4,2,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,2.0,2.0,0.441,3.0,False,4.0
1,3,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,5.0,5.0,0.646,12.0,False,5.0
9,10,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,4.0,4.0,0.591,17.0,False,6.0
7,5,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,8.0,8.0,0.985,7.0,False,7.0
6,7,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,9.0,9.0,1.28,20.0,False,8.0
10,7,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,19.0,20.0,3.654,9.0,False,9.0
18,1,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,20.0,13.0,1.6840000000000002,1.0,False,10.0
12,10,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,16.0,17.0,2.567,4.0,False,11.0
20,5,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,7.0,7.0,0.775,8.0,False,12.0
13,9,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,13.0,14.0,1.929,16.0,False,13.0
5,8,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,18.0,19.0,3.268,15.0,False,14.0
8,6,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,11.0,11.0,1.5230000000000001,18.0,False,15.0
17,8,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,14.0,15.0,2.005,19.0,False,16.0
25,6,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,17.0,18.0,2.857,11.0,False,17.0
23,9,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,15.0,16.0,2.432,14.0,True,18.0
3,2,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,3.0,3.0,0.527,2.0,True,19.0
2,3,2023,17,39,23,0.0,0.0,4.225,35.8,72.5,12.0,12.0,1.55,5.0,True,20.0
