DriverNumber,FullName,TeamName,Season,RoundNumber,RacesInGEEra,Location,Rain,WindSpeed,AirTemp,TrackTemp,QualifyingPos,StartingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,Max Verstappen,1,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,3.0,3.0,0.097,5.0,False,1.0
44,Lewis Hamilton,2,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,6.0,6.0,0.288,8.0,False,2.0
16,Charles Leclerc,3,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,1.0,1.0,0.0,2.0,False,3.0
55,Carlos Sainz,3,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,2.0,2.0,0.067,1.0,False,4.0
4,Lando Norris,4,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,19.0,17.0,4.388,7.0,False,5.0
63,George Russell,2,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,8.0,8.0,0.508,6.0,False,6.0
3,Daniel Ricciardo,6,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,4.0,4.0,0.216,15.0,False,7.0
81,Oscar Piastri,4,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,7.0,7.0,0.457,19.0,False,8.0
23,Alexander Albon,9,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,14.0,14.0,1.9809999999999999,20.0,False,9.0
31,Esteban Ocon,5,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,16.0,15.0,1.9140000000000001,11.0,False,10.0
10,Pierre Gasly,5,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,11.0,11.0,1.355,16.0,False,11.0
22,Yuki Tsunoda,6,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,15.0,18.0,1.724,4.0,False,12.0
27,Nico Hulkenberg,8,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,12.0,12.0,1.358,17.0,False,13.0
24,Guanyu Zhou,7,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,10.0,10.0,0.884,9.0,False,14.0
77,Valtteri Bottas,7,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,9.0,9.0,0.866,10.0,False,15.0
2,Logan Sargeant,9,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,20.0,19.0,77.166,14.0,True,16.0
18,Lance Stroll,10,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,18.0,0.0,2.061,13.0,True,17.0
14,Fernando Alonso,10,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,13.0,13.0,1.572,18.0,True,18.0
20,Kevin Magnussen,8,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,17.0,16.0,1.9969999999999999,12.0,True,19.0
11,Sergio Perez,1,2023,19,41,Mexico City,0.0,1.49,25.54737,45.63947,5.0,5.0,0.257,3.0,True,20.0
