DriverNumber,FullName,TeamName,Season,RoundNumber,RacesInGEEra,Location,Rain,WindSpeed,AirTemp,TrackTemp,QualifyingPos,StartingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,Max Verstappen,1,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,1.0,1.0,0.0,20.0,False,1.0
14,Fernando Alonso,10,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,2.0,2.0,0.084,14.0,False,2.0
31,Esteban Ocon,5,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,4.0,3.0,0.188,7.0,False,3.0
44,Lewis Hamilton,2,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,6.0,5.0,0.36,8.0,False,4.0
63,George Russell,2,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,8.0,8.0,0.599,6.0,False,5.0
16,Charles Leclerc,3,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,3.0,6.0,0.106,5.0,False,6.0
10,Pierre Gasly,5,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,7.0,7.0,0.568,4.0,False,7.0
55,Carlos Sainz,3,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,5.0,4.0,0.265,3.0,False,8.0
4,Lando Norris,4,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,10.0,10.0,0.889,11.0,False,9.0
81,Oscar Piastri,4,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,11.0,11.0,1.03,10.0,False,10.0
77,Valtteri Bottas,7,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,15.0,15.0,1.26,19.0,False,11.0
21,Nyck De Vries,6,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,12.0,12.0,1.063,9.0,False,12.0
24,Guanyu Zhou,7,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,19.0,19.0,2.158,15.0,False,13.0
23,Alexander Albon,9,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,13.0,13.0,1.162,16.0,False,14.0
22,Yuki Tsunoda,6,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,9.0,9.0,0.717,12.0,False,15.0
11,Sergio Perez,1,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,20.0,20.0,2.485,1.0,False,16.0
27,Nico Hulkenberg,8,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,18.0,18.0,1.9140000000000001,17.0,False,17.0
2,Logan Sargeant,9,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,16.0,16.0,1.748,13.0,False,18.0
20,Kevin Magnussen,8,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,17.0,17.0,1.905,18.0,False,19.0
18,Lance Stroll,10,2023,6,28,Monaco,14.77273,1.00568,25.06591,39.25568,14.0,14.0,1.258,2.0,True,20.0
