DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,1.0,1.0,0.0,15.0,False,1.0
15,4,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,2.0,2.0,0.241,3.0,False,2.0
3,2,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,7.0,7.0,0.491,6.0,False,3.0
24,4,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,3.0,3.0,0.372,2.0,False,4.0
4,2,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,6.0,6.0,0.435,7.0,False,5.0
18,1,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,15.0,15.0,3.248,1.0,False,6.0
9,10,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,9.0,9.0,0.939,12.0,False,7.0
13,9,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,8.0,8.0,0.81,14.0,False,8.0
1,3,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,4.0,4.0,0.416,5.0,False,9.0
2,3,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,5.0,5.0,0.428,4.0,False,10.0
23,9,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,14.0,14.0,2.311,8.0,False,11.0
6,7,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,20.0,15.0,3.078,17.0,False,12.0
17,8,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,11.0,11.0,2.176,19.0,False,13.0
12,10,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,12.0,12.0,2.215,9.0,False,14.0
10,7,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,17.0,17.0,3.403,15.0,False,15.0
8,6,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,16.0,16.0,3.305,18.0,False,16.0
22,6,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,18.0,18.0,3.793,16.0,False,17.0
20,5,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,10.0,10.0,0.969,13.0,False,18.0
5,8,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,19.0,19.0,5.658,11.0,True,19.0
7,5,2023,10,32,10,0.0,0.0,20.0,19.075,59.5,13.0,13.0,2.2359999999999998,10.0,True,20.0
