DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,1.0,1.0,0.0,15.0,False,1.0
16,3,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,2.0,2.0,0.048,3.0,False,2.0
11,1,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,15.0,15.0,62.297,1.0,False,3.0
4,4,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,4.0,4.0,0.267,13.0,False,4.0
14,10,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,7.0,7.0,0.52,6.0,False,5.0
55,3,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,3.0,3.0,0.19,2.0,False,6.0
63,2,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,11.0,11.0,1.037,5.0,False,7.0
44,2,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,5.0,5.0,0.428,11.0,False,8.0
18,10,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,6.0,6.0,0.502,7.0,False,9.0
10,5,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,9.0,9.0,0.779,12.0,False,10.0
23,9,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,10.0,10.0,1.432,18.0,False,11.0
24,7,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,17.0,17.0,1.427,14.0,False,12.0
2,9,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,18.0,18.0,1.557,10.0,False,13.0
31,5,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,12.0,12.0,1.062,9.0,False,14.0
77,7,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,14.0,14.0,1.289,17.0,False,15.0
81,4,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,13.0,13.0,1.214,4.0,False,16.0
21,6,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,20.0,20.0,1.583,16.0,False,17.0
20,8,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,19.0,19.0,1.58,8.0,False,18.0
22,6,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,16.0,16.0,1.393,20.0,False,19.0
27,8,2023,9,31,11,1.96078,1.09739,22.39804,32.05425,8.0,8.0,0.699,19.0,True,20.0
