DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,1.0,1.0,0.0,9.0,False,1.0
16,3,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,2.0,2.0,0.139,16.0,False,2.0
63,2,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,4.0,4.0,0.343,11.0,False,3.0
11,1,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,9.0,9.0,0.726,1.0,False,4.0
4,4,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,5.0,5.0,0.371,3.0,False,5.0
81,4,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,3.0,3.0,0.337,5.0,False,6.0
14,10,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,7.0,7.0,0.639,13.0,False,7.0
22,6,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,6.0,6.0,0.523,15.0,False,8.0
44,2,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,11.0,11.0,0.914,4.0,False,9.0
18,10,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,13.0,13.0,0.977,7.0,False,10.0
3,6,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,15.0,15.0,0.997,6.0,False,11.0
31,5,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,12.0,12.0,0.946,10.0,False,12.0
10,5,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,10.0,10.0,1.103,12.0,False,13.0
23,9,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,14.0,14.0,0.994,20.0,False,14.0
27,8,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,8.0,8.0,0.663,17.0,False,15.0
2,9,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,20.0,20.0,83.445,14.0,False,16.0
24,7,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,19.0,19.0,1.714,18.0,False,17.0
55,3,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,16.0,16.0,1.293,2.0,False,18.0
77,7,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,18.0,18.0,1.343,19.0,False,19.0
20,8,2023,22,44,22,0.0,0.0,12.25,26.200000000000003,49.5,17.0,17.0,1.319,8.0,False,20.0
