DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
55,3,2024,20,64,20,0.0,2.15094,19.88868,35.60252,1.0,1.0,0.0,4.0,False,1.0
4,4,2024,20,64,20,0.0,2.15094,19.88868,35.60252,3.0,3.0,0.314,17.0,False,2.0
16,3,2024,20,64,20,0.0,2.15094,19.88868,35.60252,4.0,4.0,0.319,1.0,False,3.0
44,2,2024,20,64,20,0.0,2.15094,19.88868,35.60252,6.0,6.0,0.705,5.0,False,4.0
63,2,2024,20,64,20,0.0,2.15094,19.88868,35.60252,5.0,5.0,0.41,6.0,False,5.0
1,1,2024,20,64,20,0.0,2.15094,19.88868,35.60252,2.0,2.0,0.225,18.0,False,6.0
20,8,2024,20,64,20,0.0,2.15094,19.88868,35.60252,7.0,7.0,0.94,10.0,False,7.0
81,4,2024,20,64,20,0.0,2.15094,19.88868,35.60252,17.0,17.0,1.651,3.0,False,8.0
27,8,2024,20,64,20,0.0,2.15094,19.88868,35.60252,10.0,10.0,1.419,7.0,False,9.0
10,5,2024,20,64,20,0.0,2.15094,19.88868,35.60252,8.0,8.0,0.946,19.0,False,10.0
18,10,2024,20,64,20,0.0,2.15094,19.88868,35.60252,14.0,14.0,1.3479999999999999,13.0,False,11.0
43,9,2024,20,64,20,0.0,2.15094,19.88868,35.60252,16.0,16.0,1.612,9.0,False,12.0
31,5,2024,20,64,20,0.0,2.15094,19.88868,35.60252,0.0,19.0,1.671,8.0,False,13.0
77,7,2024,20,64,20,0.0,2.15094,19.88868,35.60252,15.0,15.0,1.871,20.0,False,14.0
24,7,2024,20,64,20,0.0,2.15094,19.88868,35.60252,19.0,20.0,2.126,15.0,False,15.0
30,6,2024,20,64,20,0.0,2.15094,19.88868,35.60252,12.0,12.0,1.216,11.0,False,16.0
11,1,2024,20,64,20,0.0,2.15094,19.88868,35.60252,18.0,18.0,1.665,2.0,False,17.0
14,10,2024,20,64,20,0.0,2.15094,19.88868,35.60252,13.0,13.0,1.222,14.0,True,18.0
23,9,2024,20,64,20,0.0,2.15094,19.88868,35.60252,9.0,9.0,1.119,16.0,True,19.0
22,6,2024,20,64,20,0.0,2.15094,19.88868,35.60252,11.0,11.0,1.183,12.0,True,20.0
