DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,17.0,12.0,4.366,13.0,False,1.0
31,5,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,4.0,4.0,1.07,15.0,False,2.0
10,5,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,13.0,15.0,6.209,4.0,False,3.0
63,2,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,2.0,2.0,0.173,16.0,False,4.0
16,3,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,6.0,6.0,1.12,14.0,False,5.0
4,4,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,1.0,1.0,0.0,8.0,False,6.0
22,6,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,3.0,3.0,0.706,5.0,False,7.0
81,4,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,8.0,8.0,1.2810000000000001,1.0,False,8.0
30,6,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,5.0,5.0,1.079,3.0,False,9.0
44,2,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,14.0,16.0,7.745,2.0,False,10.0
11,1,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,12.0,13.0,4.753,12.0,False,11.0
50,8,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,15.0,17.0,7.824,19.0,False,12.0
77,7,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,11.0,11.0,3.067,20.0,False,13.0
14,10,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,9.0,9.0,5.593,10.0,False,14.0
24,7,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,19.0,20.0,8.858,11.0,False,15.0
55,3,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,20.0,14.0,6.001,6.0,True,16.0
43,9,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,16.0,18.0,7.865,7.0,True,17.0
23,9,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,7.0,7.0,1.252,18.0,True,18.0
18,10,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,10.0,10.0,2.9290000000000003,9.0,True,19.0
27,8,2024,21,65,21,3.3,2.9,8.9,22.925,86.75,18.0,19.0,8.218,17.0,True,20.0
