DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
44,2,2024,14,58,14,0.0,1.68321,21.32847,42.26715,3.0,4.0,0.676,7.0,False,1.0
81,4,2024,14,58,14,0.0,1.68321,21.32847,42.26715,5.0,6.0,0.868,5.0,False,2.0
16,3,2024,14,58,14,0.0,1.68321,21.32847,42.26715,1.0,2.0,0.595,8.0,False,3.0
1,1,2024,14,58,14,0.0,1.68321,21.32847,42.26715,11.0,1.0,0.0,3.0,False,4.0
4,4,2024,14,58,14,0.0,1.68321,21.32847,42.26715,4.0,5.0,0.822,6.0,False,5.0
55,3,2024,14,58,14,0.0,1.68321,21.32847,42.26715,7.0,8.0,1.318,2.0,False,6.0
11,1,2024,14,58,14,0.0,1.68321,21.32847,42.26715,2.0,3.0,0.606,1.0,False,7.0
14,10,2024,14,58,14,0.0,1.68321,21.32847,42.26715,8.0,9.0,1.6059999999999999,15.0,False,8.0
31,5,2024,14,58,14,0.0,1.68321,21.32847,42.26715,9.0,10.0,1.651,12.0,False,9.0
3,6,2024,14,58,14,0.0,1.68321,21.32847,42.26715,13.0,13.0,1.5230000000000001,18.0,False,10.0
18,10,2024,14,58,14,0.0,1.68321,21.32847,42.26715,15.0,15.0,2.557,9.0,False,11.0
23,9,2024,14,58,14,0.0,1.68321,21.32847,42.26715,10.0,11.0,1.314,19.0,False,12.0
10,5,2024,14,58,14,0.0,1.68321,21.32847,42.26715,12.0,12.0,1.476,10.0,False,13.0
20,8,2024,14,58,14,0.0,1.68321,21.32847,42.26715,17.0,17.0,3.341,16.0,False,14.0
77,7,2024,14,58,14,0.0,1.68321,21.32847,42.26715,14.0,14.0,1.605,20.0,False,15.0
22,6,2024,14,58,14,0.0,1.68321,21.32847,42.26715,20.0,18.0,3.434,13.0,False,16.0
2,9,2024,14,58,14,0.0,1.68321,21.32847,42.26715,18.0,19.0,4.071,11.0,False,17.0
27,8,2024,14,58,14,0.0,1.68321,21.32847,42.26715,16.0,16.0,3.149,17.0,False,18.0
24,7,2024,14,58,14,0.0,1.68321,21.32847,42.26715,19.0,20.0,4.616,14.0,True,19.0
63,2,2024,14,58,14,0.0,1.68321,21.32847,42.26715,6.0,7.0,1.025,4.0,True,20.0
