DriverNumber,FullName,TeamName,Season,RoundNumber,RacesInGEEra,Location,Rain,WindSpeed,AirTemp,TrackTemp,QualifyingPos,StartingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
4,Lando Norris,4,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,1.0,1.0,0.0,3.0,False,1.0
1,Max Verstappen,1,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,2.0,2.0,0.356,5.0,False,2.0
16,Charles Leclerc,3,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,6.0,6.0,0.909,10.0,False,3.0
81,Oscar Piastri,4,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,3.0,3.0,0.499,1.0,False,4.0
55,Carlos Sainz,3,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,10.0,10.0,1.241,6.0,False,5.0
11,Sergio Perez,1,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,5.0,5.0,0.743,2.0,False,6.0
63,George Russell,2,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,4.0,4.0,0.571,11.0,False,7.0
44,Lewis Hamilton,2,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,11.0,14.0,1.275,4.0,False,8.0
10,Pierre Gasly,5,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,9.0,9.0,1.304,16.0,False,9.0
14,Fernando Alonso,10,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,7.0,7.0,0.96,8.0,False,10.0
27,Nico Hulkenberg,8,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,13.0,12.0,1.542,14.0,False,11.0
3,Daniel Ricciardo,6,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,15.0,13.0,2.27,12.0,False,12.0
18,Lance Stroll,10,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,8.0,8.0,1.184,7.0,False,13.0
23,Alexander Albon,9,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,10.0,19.0,0.98,20.0,False,14.0
31,Esteban Ocon,5,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,16.0,15.0,2.322,9.0,False,15.0
2,Logan Sargeant,9,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,20.0,18.0,nan,10.0,False,16.0
22,Yuki Tsunoda,6,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,12.0,11.0,1.282,15.0,False,17.0
20,Kevin Magnussen,8,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,14.0,20.0,1.6219999999999999,13.0,False,18.0
77,Valtteri Bottas,7,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,17.0,16.0,2.495,18.0,False,19.0
24,Guanyu Zhou,7,2024,15,59,Zandvoort,0.0,4.56863,19.00588,30.80588,18.0,17.0,3.588,17.0,False,20.0
