DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
81,4,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,1.0,1.0,0.0,2.0,False,1.0
4,4,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,2.0,2.0,0.209,1.0,False,2.0
16,3,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,7.0,7.0,0.585,5.0,False,3.0
63,2,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,4.0,4.0,0.302,6.0,False,4.0
27,7,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,15.0,16.0,1.6440000000000001,12.0,False,5.0
44,3,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,5.0,5.0,0.499,7.0,False,6.0
6,6,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,9.0,9.0,0.706,13.0,False,7.0
10,5,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,8.0,8.0,0.653,19.0,False,8.0
14,10,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,10.0,10.0,0.738,14.0,False,9.0
1,1,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,3.0,3.0,0.302,20.0,False,10.0
30,6,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,13.0,13.0,1.217,9.0,False,11.0
5,7,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,12.0,12.0,1.21,16.0,False,12.0
22,1,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,19.0,20.0,1.839,3.0,False,13.0
55,9,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,17.0,18.0,1.657,11.0,False,14.0
43,5,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,18.0,19.0,1.788,8.0,False,15.0
31,8,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,16.0,17.0,1.655,15.0,False,16.0
87,8,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,14.0,15.0,1.7690000000000001,17.0,False,17.0
12,2,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,6.0,6.0,0.565,4.0,True,18.0
23,9,2025,9,77,6,0.0,0.0,14.224999999999998,29.425,51.75,11.0,11.0,1.095,18.0,True,19.0
