DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2025,7,75,4,0.0,3.248,23.96467,42.664,2.0,2.0,0.034,20.0,False,1.0
4,4,2025,7,75,4,0.0,3.248,23.96467,42.664,4.0,4.0,0.292,1.0,False,2.0
81,4,2025,7,75,4,0.0,3.248,23.96467,42.664,1.0,1.0,0.0,4.0,False,3.0
44,3,2025,7,75,4,0.0,3.248,23.96467,42.664,12.0,12.0,1.095,11.0,False,4.0
23,9,2025,7,75,4,0.0,3.248,23.96467,42.664,7.0,7.0,0.803,6.0,False,5.0
16,3,2025,7,75,4,0.0,3.248,23.96467,42.664,11.0,11.0,0.934,12.0,False,6.0
63,2,2025,7,75,4,0.0,3.248,23.96467,42.664,3.0,3.0,0.137,13.0,False,7.0
55,9,2025,7,75,4,0.0,3.248,23.96467,42.664,6.0,6.0,0.762,7.0,False,8.0
6,6,2025,7,75,4,0.0,3.248,23.96467,42.664,9.0,9.0,1.076,16.0,False,9.0
22,1,2025,7,75,4,0.0,3.248,23.96467,42.664,20.0,20.0,74.67,2.0,False,10.0
14,10,2025,7,75,4,0.0,3.248,23.96467,42.664,5.0,5.0,0.761,8.0,False,11.0
27,7,2025,7,75,4,0.0,3.248,23.96467,42.664,17.0,17.0,1.8479999999999999,14.0,False,12.0
10,5,2025,7,75,4,0.0,3.248,23.96467,42.664,10.0,10.0,1.117,15.0,False,13.0
30,6,2025,7,75,4,0.0,3.248,23.96467,42.664,15.0,16.0,1.709,9.0,False,14.0
18,10,2025,7,75,4,0.0,3.248,23.96467,42.664,8.0,8.0,0.911,5.0,False,15.0
43,5,2025,7,75,4,0.0,3.248,23.96467,42.664,16.0,15.0,1.5859999999999999,10.0,False,16.0
87,8,2025,7,75,4,0.0,3.248,23.96467,42.664,19.0,19.0,2.248,18.0,False,17.0
5,7,2025,7,75,4,0.0,3.248,23.96467,42.664,14.0,14.0,1.5899999999999999,17.0,False,18.0
12,2,2025,7,75,4,0.0,3.248,23.96467,42.664,13.0,13.0,1.102,3.0,True,19.0
31,8,2025,7,75,4,0.0,3.248,23.96467,42.664,18.0,18.0,1.943,19.0,True,20.0
