DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
63,2,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,1.0,1.0,0.0,4.0,False,1.0
1,1,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,2.0,2.0,0.16,11.0,False,2.0
12,2,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,4.0,4.0,0.492,1.0,False,3.0
81,4,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,3.0,3.0,0.221,7.0,False,4.0
16,3,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,8.0,8.0,0.783,5.0,False,5.0
44,3,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,5.0,5.0,0.627,8.0,False,6.0
14,10,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,6.0,6.0,0.687,18.0,False,7.0
27,7,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,11.0,13.0,1.284,16.0,False,8.0
31,8,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,14.0,15.0,1.7349999999999999,14.0,False,9.0
55,9,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,16.0,17.0,1.499,10.0,False,10.0
87,8,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,13.0,14.0,1.441,15.0,False,11.0
22,1,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,18.0,11.0,1.203,2.0,False,12.0
43,5,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,10.0,12.0,1.2429999999999999,20.0,False,13.0
5,7,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,15.0,16.0,1.486,13.0,False,14.0
10,5,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,20.0,20.0,1.768,12.0,False,15.0
6,6,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,12.0,9.0,0.968,19.0,False,16.0
18,10,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,17.0,18.0,1.6179999999999999,6.0,False,17.0
4,4,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,7.0,7.0,0.726,3.0,True,18.0
30,6,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,19.0,19.0,1.626,9.0,True,19.0
23,9,2025,10,78,9,0.5988,1.03772,24.03653,49.25329,9.0,10.0,1.008,17.0,True,20.0
