DriverNumber,FullName,TeamName,Season,RoundNumber,RacesInGEEra,Location,Rain,WindSpeed,AirTemp,TrackTemp,QualifyingPos,StartingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
4,Lando Norris,4,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,3.0,3.0,0.118,2.0,False,1.0
81,Oscar Piastri,4,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,2.0,2.0,0.103,3.0,False,2.0
27,Nico Hulkenberg,7,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,19.0,19.0,1.682,17.0,False,3.0
44,Lewis Hamilton,3,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,5.0,5.0,0.203,6.0,False,4.0
1,Max Verstappen,1,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,1.0,1.0,0.0,12.0,False,5.0
10,Pierre Gasly,5,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,10.0,8.0,0.893,20.0,False,6.0
18,Lance Stroll,10,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,18.0,17.0,1.612,9.0,False,7.0
23,Alexander Albon,9,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,14.0,13.0,0.997,11.0,False,8.0
14,Fernando Alonso,10,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,9.0,7.0,0.729,18.0,False,9.0
63,George Russell,2,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,4.0,4.0,0.137,7.0,False,10.0
87,Oliver Bearman,8,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,8.0,18.0,0.579,15.0,False,11.0
55,Carlos Sainz,9,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,11.0,9.0,0.854,14.0,False,12.0
31,Esteban Ocon,8,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,15.0,14.0,1.058,8.0,False,13.0
16,Charles Leclerc,3,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,6.0,6.0,0.229,5.0,False,14.0
22,Yuki Tsunoda,1,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,12.0,11.0,0.934,1.0,False,15.0
12,Kimi Antonelli,2,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,7.0,10.0,0.482,4.0,True,16.0
6,Isack Hadjar,6,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,13.0,12.0,0.972,16.0,True,17.0
5,Gabriel Bortoleto,7,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,17.0,16.0,1.554,19.0,True,18.0
30,Liam Lawson,6,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,16.0,15.0,1.548,13.0,True,19.0
43,Franco Colapinto,5,2025,12,80,Silverstone,18.06452,1.48323,17.91742,23.57871,20.0,20.0,2.168,10.0,True,20.0
