DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,1.0,1.0,0.0,10.0,False,1.0
24,4,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,3.0,3.0,0.23,2.0,False,2.0
15,4,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,2.0,2.0,0.201,3.0,False,3.0
1,3,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,5.0,5.0,0.523,16.0,False,4.0
4,2,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,4.0,4.0,0.438,14.0,False,5.0
9,10,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,6.0,6.0,0.695,15.0,False,6.0
7,8,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,8.0,8.0,0.706,11.0,False,7.0
3,3,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,16.0,16.0,1.187,5.0,False,8.0
17,7,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,18.0,18.0,1.2429999999999999,7.0,False,9.0
12,10,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,15.0,15.0,0.89,6.0,False,10.0
30,7,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,7.0,7.0,0.697,18.0,False,11.0
26,8,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,11.0,11.0,0.834,8.0,False,12.0
2,9,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,12.0,12.0,0.835,17.0,False,13.0
8,1,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,10.0,10.0,0.827,1.0,False,14.0
32,2,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,14.0,14.0,0.873,4.0,False,15.0
13,9,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,17.0,17.0,1.209,12.0,False,16.0
31,6,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,9.0,9.0,0.865,13.0,False,17.0
25,6,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,13.0,13.0,0.87,9.0,False,18.0
20,5,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,19.0,19.0,1.2610000000000001,20.0,False,19.0
27,5,2025,24,91,22,0.0,0.0,13.3,26.950000000000003,67.25,20.0,20.0,1.683,19.0,False,20.0
