DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,2.0,2.0,0.323,5.0,False,1.0
18,1,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,5.0,5.0,0.67,2.0,False,2.0
4,2,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,4.0,4.0,0.643,6.0,False,3.0
2,3,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,3.0,3.0,0.416,1.0,False,4.0
3,2,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,6.0,6.0,0.762,4.0,False,5.0
6,7,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,7.0,7.0,0.858,15.0,False,6.0
7,5,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,12.0,12.0,1.888,17.0,False,7.0
15,4,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,11.0,11.0,1.721,9.0,False,8.0
9,5,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,20.0,17.0,2.293,12.0,True,9.0
8,6,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,13.0,13.0,1.889,14.0,True,10.0
21,10,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,16.0,16.0,2.204,18.0,True,11.0
14,4,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,9.0,9.0,1.5470000000000002,11.0,True,12.0
20,6,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,14.0,14.0,2.111,13.0,True,13.0
11,8,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,10.0,10.0,1.6179999999999999,8.0,True,14.0
12,10,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,17.0,18.0,2.668,16.0,True,15.0
16,9,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,19.0,20.0,3.165,19.0,True,16.0
5,8,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,8.0,8.0,0.932,10.0,True,17.0
13,9,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,18.0,19.0,2.895,20.0,True,18.0
10,7,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,15.0,15.0,2.344,7.0,True,19.0
1,3,2022,6,6,6,0.0,0.0,18.775,31.025,10.5,1.0,1.0,0.0,3.0,True,20.0
