DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,2.0,3.0,0.378,12.0,False,1.0
1,3,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,1.0,1.0,0.0,2.0,False,2.0
18,1,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,11.0,12.0,1.129,3.0,False,3.0
7,5,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,16.0,17.0,2.108,5.0,False,4.0
12,10,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,19.0,14.0,1.4729999999999999,10.0,False,5.0
2,3,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,12.0,2.0,0.044,1.0,False,6.0
3,2,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,10.0,11.0,1.111,4.0,False,7.0
4,2,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,3.0,4.0,0.386,11.0,False,8.0
9,10,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,9.0,10.0,0.829,14.0,False,9.0
24,4,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,18.0,19.0,2.124,16.0,False,10.0
20,5,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,4.0,5.0,0.513,17.0,False,11.0
13,9,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,5.0,6.0,0.597,7.0,False,12.0
5,8,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,8.0,9.0,0.811,13.0,False,13.0
14,6,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,14.0,15.0,1.5819999999999999,20.0,False,14.0
10,7,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,17.0,18.0,2.123,8.0,False,15.0
23,9,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,6.0,7.0,0.787,6.0,False,16.0
6,7,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,7.0,8.0,0.799,18.0,False,17.0
8,6,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,20.0,20.0,3.721,15.0,False,18.0
17,8,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,13.0,13.0,1.2530000000000001,9.0,False,19.0
15,4,2023,21,43,24,0.0,0.0,16.75,12.5,49.75,15.0,16.0,1.9769999999999999,19.0,True,20.0
