DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
2,3,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,1.0,1.0,0.0,4.0,False,1.0
15,4,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,3.0,3.0,0.314,17.0,False,2.0
1,3,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,4.0,4.0,0.319,1.0,False,3.0
3,2,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,6.0,6.0,0.705,5.0,False,4.0
4,2,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,5.0,5.0,0.41,6.0,False,5.0
19,1,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,2.0,2.0,0.225,18.0,False,6.0
5,8,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,7.0,7.0,0.94,10.0,False,7.0
24,4,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,17.0,17.0,1.651,3.0,False,8.0
17,8,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,10.0,10.0,1.419,7.0,False,9.0
20,5,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,8.0,8.0,0.946,19.0,False,10.0
12,10,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,14.0,14.0,1.3479999999999999,13.0,False,11.0
27,9,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,16.0,16.0,1.612,9.0,False,12.0
7,5,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,0.0,19.0,1.671,8.0,False,13.0
6,7,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,15.0,15.0,1.871,20.0,False,14.0
10,7,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,19.0,20.0,2.126,15.0,False,15.0
25,6,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,12.0,12.0,1.216,11.0,False,16.0
18,1,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,18.0,18.0,1.665,2.0,False,17.0
9,10,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,13.0,13.0,1.222,14.0,True,18.0
13,9,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,9.0,9.0,1.119,16.0,True,19.0
8,6,2024,20,64,20,0.0,0.0,9.8,19.724999999999998,37.5,11.0,11.0,1.183,12.0,True,20.0
