DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
3,2,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,3.0,4.0,0.676,7.0,False,1.0
24,4,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,5.0,6.0,0.868,5.0,False,2.0
1,3,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,1.0,2.0,0.595,8.0,False,3.0
19,1,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,11.0,1.0,0.0,3.0,False,4.0
15,4,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,4.0,5.0,0.822,6.0,False,5.0
2,3,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,7.0,8.0,1.318,2.0,False,6.0
18,1,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,2.0,3.0,0.606,1.0,False,7.0
9,10,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,8.0,9.0,1.6059999999999999,15.0,False,8.0
7,5,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,9.0,10.0,1.651,12.0,False,9.0
14,6,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,13.0,13.0,1.5230000000000001,18.0,False,10.0
12,10,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,15.0,15.0,2.557,9.0,False,11.0
13,9,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,10.0,11.0,1.314,19.0,False,12.0
20,5,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,12.0,12.0,1.476,10.0,False,13.0
5,8,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,17.0,17.0,3.341,16.0,False,14.0
6,7,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,14.0,14.0,1.605,20.0,False,15.0
8,6,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,20.0,18.0,3.434,13.0,False,16.0
23,9,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,18.0,19.0,4.071,11.0,False,17.0
17,8,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,16.0,16.0,3.149,17.0,False,18.0
10,7,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,19.0,20.0,4.616,14.0,True,19.0
4,2,2024,14,58,14,0.0,0.0,5.4750000000000005,21.775,51.5,6.0,7.0,1.025,4.0,True,20.0
