DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
15,4,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,1.0,1.0,0.0,2.0,False,1.0
2,3,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,3.0,3.0,0.229,14.0,False,2.0
1,3,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,19.0,14.0,1.238,3.0,False,3.0
3,2,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,16.0,18.0,1.292,7.0,False,4.0
4,2,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,6.0,7.0,0.537,18.0,False,5.0
19,1,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,4.0,5.0,0.35,10.0,False,6.0
20,5,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,5.0,6.0,0.389,20.0,False,7.0
17,8,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,7.0,4.0,0.291,15.0,False,8.0
9,10,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,8.0,8.0,0.601,13.0,False,9.0
24,4,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,2.0,2.0,0.209,1.0,False,10.0
13,9,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,18.0,16.0,1.226,19.0,False,11.0
8,6,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,11.0,11.0,0.824,12.0,False,12.0
10,7,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,15.0,17.0,1.285,9.0,False,13.0
12,10,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,13.0,13.0,1.189,8.0,False,14.0
28,5,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,17.0,20.0,1.51,6.0,False,15.0
5,8,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,14.0,15.0,1.282,4.0,False,16.0
25,6,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,12.0,12.0,0.877,11.0,False,17.0
6,7,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,9.0,9.0,0.609,17.0,True,18.0
27,9,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,20.0,19.0,1.317,16.0,True,19.0
18,1,2024,24,68,22,0.0,0.0,16.5,26.225,69.75,10.0,10.0,0.669,5.0,True,20.0
