DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,1.0,1.0,0.0,13.0,False,1.0
15,4,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,2.0,2.0,0.291,6.0,False,2.0
1,3,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,3.0,3.0,0.297,5.0,False,3.0
3,3,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,5.0,5.0,0.402,3.0,False,4.0
24,4,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,6.0,6.0,0.574,2.0,False,5.0
4,2,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,4.0,4.0,0.316,7.0,False,6.0
8,1,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,13.0,13.0,0.956,1.0,False,7.0
17,7,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,11.0,11.0,0.824,16.0,False,8.0
26,8,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,8.0,8.0,0.629,17.0,False,9.0
9,10,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,10.0,10.0,0.65,18.0,False,10.0
25,6,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,12.0,12.0,0.85,20.0,False,11.0
12,10,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,19.0,18.0,2.03,10.0,False,12.0
32,2,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,7.0,7.0,0.604,4.0,False,13.0
13,9,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,18.0,19.0,2.18,9.0,False,14.0
7,8,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,17.0,17.0,1.626,8.0,False,15.0
31,6,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,20.0,20.0,92.51,12.0,False,16.0
27,5,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,15.0,15.0,1.534,14.0,False,17.0
30,7,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,16.0,16.0,1.615,11.0,False,18.0
20,5,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,14.0,14.0,1.141,15.0,False,19.0
2,9,2025,19,87,19,0.0,0.0,18.15,25.650000000000002,23.25,9.0,9.0,0.64,19.0,True,20.0
