DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,2.0,2.0,0.034,20.0,False,1.0
15,4,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,4.0,4.0,0.292,1.0,False,2.0
24,4,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,1.0,1.0,0.0,4.0,False,3.0
3,3,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,12.0,12.0,1.095,11.0,False,4.0
13,9,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,7.0,7.0,0.803,6.0,False,5.0
1,3,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,11.0,11.0,0.934,12.0,False,6.0
4,2,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,3.0,3.0,0.137,13.0,False,7.0
2,9,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,6.0,6.0,0.762,7.0,False,8.0
31,6,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,9.0,9.0,1.076,16.0,False,9.0
8,1,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,20.0,20.0,74.67,2.0,False,10.0
9,10,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,5.0,5.0,0.761,8.0,False,11.0
17,7,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,17.0,17.0,1.8479999999999999,14.0,False,12.0
20,5,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,10.0,10.0,1.117,15.0,False,13.0
25,6,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,15.0,16.0,1.709,9.0,False,14.0
12,10,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,8.0,8.0,0.911,5.0,False,15.0
27,5,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,16.0,15.0,1.5859999999999999,10.0,False,16.0
26,8,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,19.0,19.0,2.248,18.0,False,17.0
30,7,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,14.0,14.0,1.5899999999999999,17.0,False,18.0
32,2,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,13.0,13.0,1.102,3.0,True,19.0
7,8,2025,7,75,4,0.0,0.0,25.775,19.675,44.75,18.0,18.0,1.943,19.0,True,20.0
