DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
24,4,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,1.0,1.0,0.0,2.0,False,1.0
19,1,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,3.0,3.0,0.263,12.0,False,2.0
31,6,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,4.0,4.0,0.546,8.0,False,3.0
4,2,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,5.0,5.0,0.593,11.0,False,4.0
13,9,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,15.0,15.0,0.99,9.0,False,5.0
26,8,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,20.0,19.0,1.6,18.0,False,6.0
12,10,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,19.0,20.0,68.662,10.0,False,7.0
9,10,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,10.0,10.0,0.968,20.0,False,8.0
8,1,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,12.0,12.0,0.96,3.0,False,9.0
7,8,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,18.0,18.0,1.5350000000000001,19.0,False,10.0
27,5,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,16.0,16.0,1.442,14.0,False,11.0
25,6,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,8.0,8.0,0.838,4.0,False,12.0
2,9,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,9.0,9.0,0.843,15.0,False,13.0
17,7,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,17.0,17.0,1.533,13.0,False,14.0
30,7,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,13.0,13.0,0.96,17.0,False,15.0
32,2,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,11.0,11.0,0.831,5.0,False,16.0
20,5,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,14.0,14.0,0.975,16.0,False,17.0
15,4,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,2.0,2.0,0.012,1.0,True,18.0
1,3,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,6.0,6.0,0.678,7.0,True,19.0
3,3,2025,15,83,15,0.0,3.7,4.35,21.425,75.25,7.0,7.0,0.728,6.0,True,20.0
