DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,14.0,1.0,0.0,3.0,False,1.0
18,1,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,2.0,3.0,0.797,1.0,False,2.0
2,3,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,1.0,2.0,0.632,4.0,False,3.0
4,2,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,5.0,8.0,2.111,7.0,False,4.0
9,5,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,3.0,6.0,1.7029999999999998,5.0,False,5.0
1,3,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,15.0,4.0,0.888,2.0,False,6.0
7,5,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,16.0,5.0,1.5150000000000001,6.0,False,7.0
21,10,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,10.0,16.0,2.6790000000000003,14.0,False,8.0
20,6,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,0.0,12.0,2.162,19.0,False,9.0
13,9,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,6.0,9.0,2.172,17.0,False,10.0
12,10,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,9.0,14.0,2.9459999999999997,16.0,False,11.0
15,4,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,17.0,10.0,2.513,11.0,False,12.0
8,6,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,0.0,19.0,3.027,12.0,False,13.0
10,7,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,18.0,13.0,2.42,20.0,False,14.0
14,4,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,7.0,11.0,2.102,10.0,False,15.0
5,8,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,12.0,18.0,2.892,15.0,True,16.0
11,8,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,19.0,15.0,4.053,18.0,True,17.0
16,9,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,11.0,17.0,2.7359999999999998,9.0,True,18.0
6,7,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,13.0,20.0,4.201,13.0,True,19.0
3,2,2022,14,14,14,0.0,0.0,11.075,19.525,39.5,4.0,7.0,1.838,8.0,True,20.0
