DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,3,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,2.0,2.0,0.029,3.0,False,1.0
19,1,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,1.0,1.0,0.0,13.0,False,2.0
3,2,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,8.0,9.0,8.167,4.0,False,3.0
4,2,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,4.0,4.0,0.447,9.0,False,4.0
7,5,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,6.0,5.0,0.742,8.0,False,5.0
11,8,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,9.0,7.0,1.027,6.0,True,6.0
15,4,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,10.0,15.0,20.863,16.0,True,7.0
5,8,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,7.0,6.0,0.895,7.0,True,8.0
14,4,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,11.0,16.0,1.629,15.0,True,9.0
9,5,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,19.0,8.0,1.119,5.0,True,10.0
6,7,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,0.0,12.0,1.335,18.0,True,11.0
13,9,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,15.0,11.0,1.246,19.0,True,12.0
12,10,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,12.0,17.0,1.863,20.0,True,13.0
10,7,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,13.0,18.0,1.917,12.0,True,14.0
20,6,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,14.0,10.0,1.176,14.0,True,15.0
8,6,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,16.0,14.0,1.867,10.0,True,16.0
21,10,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,18.0,20.0,2.099,17.0,True,17.0
2,3,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,3.0,3.0,0.082,2.0,True,18.0
16,9,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,17.0,19.0,2.019,11.0,True,19.0
18,1,2022,11,11,11,0.0,0.0,19.650000000000002,14.649999999999999,46.0,5.0,13.0,1.474,1.0,True,20.0
