DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,2.0,2.0,0.013,5.0,False,1.0
18,1,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,5.0,5.0,0.394,2.0,False,2.0
2,3,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,1.0,1.0,0.0,3.0,False,3.0
1,3,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,3.0,3.0,0.067,1.0,False,4.0
4,2,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,4.0,4.0,0.377,8.0,False,5.0
3,2,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,8.0,8.0,0.526,4.0,False,6.0
13,9,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,6.0,6.0,0.466,15.0,False,7.0
15,4,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,9.0,9.0,0.685,7.0,False,8.0
9,10,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,10.0,10.0,1.123,20.0,False,9.0
6,7,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,14.0,14.0,1.646,16.0,False,10.0
25,6,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,12.0,12.0,1.464,11.0,False,11.0
24,4,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,7.0,7.0,0.491,9.0,False,12.0
23,9,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,15.0,15.0,1.65,6.0,False,13.0
10,7,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,16.0,16.0,2.096,14.0,False,14.0
20,5,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,17.0,17.0,2.251,18.0,False,15.0
12,10,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,20.0,20.0,2.566,10.0,False,16.0
17,8,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,13.0,13.0,1.482,19.0,False,17.0
5,8,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,19.0,19.0,2.298,13.0,False,18.0
7,5,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,18.0,18.0,2.254,17.0,True,19.0
8,6,2023,14,36,16,0.0,0.0,8.075,30.575000000000003,47.5,11.0,11.0,1.3,12.0,True,20.0
