DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
24,4,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,2.0,2.0,0.022,1.0,False,1.0
15,4,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,1.0,1.0,0.0,2.0,False,2.0
3,2,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,5.0,5.0,0.627,17.0,False,3.0
1,3,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,6.0,6.0,0.678,4.0,False,4.0
19,1,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,3.0,3.0,0.046,16.0,False,5.0
2,3,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,4.0,4.0,0.469,6.0,False,6.0
18,1,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,16.0,16.0,2.659,3.0,False,7.0
4,2,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,17.0,17.0,2.741,5.0,False,8.0
8,6,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,10.0,10.0,1.25,9.0,False,9.0
12,10,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,8.0,8.0,1.017,7.0,False,10.0
9,10,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,7.0,7.0,0.816,8.0,False,11.0
14,6,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,9.0,9.0,1.22,10.0,False,12.0
17,8,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,11.0,11.0,1.09,15.0,False,13.0
13,9,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,13.0,13.0,1.202,14.0,False,14.0
5,8,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,15.0,15.0,1.321,11.0,False,15.0
6,7,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,12.0,12.0,1.157,18.0,False,16.0
23,9,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,14.0,14.0,1.316,13.0,False,17.0
7,5,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,19.0,19.0,2.822,20.0,False,18.0
10,7,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,18.0,18.0,2.81,12.0,False,19.0
20,5,2024,13,57,13,0.0,2.7,7.925,29.5,63.25,20.0,20.0,2.939,19.0,True,20.0
