DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
19,1,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,3.0,3.0,0.264,16.0,False,1.0
24,4,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,1.0,1.0,0.0,2.0,False,2.0
2,9,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,7.0,7.0,0.9,15.0,False,3.0
15,4,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,2.0,2.0,0.108,1.0,False,4.0
32,2,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,5.0,5.0,0.459,4.0,False,5.0
4,2,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,4.0,4.0,0.275,5.0,False,6.0
9,10,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,8.0,8.0,1.031,19.0,False,7.0
1,3,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,10.0,10.0,1.174,18.0,False,8.0
25,6,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,12.0,12.0,1.046,6.0,False,9.0
8,1,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,15.0,16.0,1.374,3.0,False,10.0
13,9,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,14.0,15.0,1.242,7.0,False,11.0
3,3,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,17.0,18.0,1.52,10.0,False,12.0
30,7,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,19.0,14.0,1.147,11.0,False,13.0
27,5,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,20.0,20.0,1.75,9.0,False,14.0
7,8,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,16.0,17.0,1.4769999999999999,13.0,False,15.0
20,5,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,9.0,9.0,1.09,20.0,False,16.0
12,10,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,18.0,19.0,1.671,8.0,True,17.0
31,6,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,6.0,6.0,0.727,12.0,True,18.0
26,8,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,13.0,13.0,1.051,17.0,True,19.0
17,7,2025,23,91,23,0.0,0.0,6.949999999999999,21.700000000000003,82.5,11.0,11.0,0.966,14.0,True,20.0
