DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
4,2,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,1.0,1.0,0.0,4.0,False,1.0
19,1,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,2.0,2.0,0.182,13.0,False,2.0
15,4,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,5.0,5.0,0.428,3.0,False,3.0
24,4,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,3.0,3.0,0.366,5.0,False,4.0
32,2,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,4.0,4.0,0.379,1.0,False,5.0
1,3,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,7.0,7.0,0.626,6.0,False,6.0
9,10,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,10.0,10.0,0.797,15.0,False,7.0
3,3,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,6.0,6.0,0.53,7.0,False,8.0
26,8,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,9.0,9.0,0.71,17.0,False,9.0
2,9,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,18.0,20.0,89.158,19.0,False,10.0
31,6,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,8.0,8.0,0.688,12.0,False,11.0
8,1,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,13.0,13.0,1.195,2.0,False,12.0
12,10,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,15.0,15.0,1.791,10.0,False,13.0
13,9,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,20.0,19.0,89.158,20.0,False,14.0
25,6,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,12.0,12.0,1.162,8.0,False,15.0
27,5,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,16.0,16.0,1.8239999999999998,18.0,False,16.0
30,7,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,14.0,14.0,1.662,11.0,False,17.0
7,8,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,17.0,17.0,1.831,9.0,False,18.0
20,5,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,19.0,18.0,2.103,16.0,False,19.0
17,7,2025,18,86,17,0.0,0.0,3.05,34.25,81.25,11.0,11.0,0.983,14.0,False,20.0
