DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
15,4,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,1.0,1.0,0.0,3.0,False,1.0
1,3,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,2.0,2.0,0.109,4.0,False,2.0
24,4,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,3.0,3.0,0.175,1.0,False,3.0
19,1,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,4.0,5.0,0.715,12.0,False,4.0
3,3,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,7.0,4.0,0.428,2.0,False,5.0
31,6,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,5.0,6.0,0.969,9.0,False,6.0
7,8,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,8.0,8.0,0.988,17.0,False,7.0
25,6,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,9.0,9.0,1.175,6.0,False,8.0
13,9,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,10.0,10.0,1.259,11.0,False,9.0
2,9,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,11.0,11.0,1.408,10.0,False,10.0
4,2,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,14.0,14.0,1.553,15.0,False,11.0
26,8,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,20.0,17.0,2.025,8.0,False,12.0
27,5,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,18.0,20.0,2.643,18.0,False,13.0
30,7,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,16.0,16.0,1.948,13.0,False,14.0
12,10,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,19.0,19.0,2.609,7.0,False,15.0
17,7,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,13.0,13.0,1.642,16.0,False,16.0
8,1,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,12.0,12.0,1.461,5.0,False,17.0
32,2,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,15.0,15.0,1.9260000000000002,14.0,False,18.0
9,10,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,6.0,7.0,0.97,19.0,True,19.0
20,5,2025,8,76,7,0.0,0.0,9.5,21.3,77.0,17.0,18.0,2.04,20.0,True,20.0
