Race,MAE,MSE,RMSE,R2,MedianAE,Spearman,Kendall
2025\Austin,1.1578947368421053,3.789473684210526,1.9466570535691503,0.8736842105263158,1.0,0.9368421052631579,0.8596491228070176
2025\Baku,0.7368421052631579,1.6842105263157894,1.2977713690461004,0.9438596491228071,0.0,0.9719298245614034,0.9064327485380117
2025\Barcelona,2.1176470588235294,10.941176470588236,3.307744922237541,0.5441176470588236,1.0,0.7720588235294118,0.676470588235294
2025\Budapest,2.5,11.9,3.449637662132068,0.6421052631578947,2.0,0.8210526315789473,0.6947368421052632
2025\Imola,2.3333333333333335,10.88888888888889,3.2998316455372216,0.5954592363261093,1.5,0.7977296181630547,0.6601307189542485
2025\Jeddah,0.7777777777777778,1.6666666666666667,1.2909944487358056,0.9380804953560371,0.0,0.9690402476780186,0.9084967320261439
2025\Las Vegas,2.933333333333333,14.533333333333333,3.812260921465546,0.22142857142857142,3.0,0.6107142857142855,0.5428571428571429
2025\Lusail,1.75,6.125,2.4748737341529163,0.711764705882353,1.0,0.8558823529411764,0.7666666666666667
2025\Marina Bay,1.0,3.0,1.7320508075688772,0.9097744360902256,0.0,0.9548872180451128,0.8736842105263158
2025\Melbourne,2.142857142857143,9.714285714285714,3.116774889895918,0.4021978021978022,1.0,0.7010989010989012,0.5604395604395604
2025\Mexico City,2.25,7.625,2.7613402542968153,0.6411764705882352,2.0,0.8205882352941177,0.6833333333333333
2025\Miami,1.625,4.125,2.03100960115899,0.8058823529411765,2.0,0.9029411764705882,0.7833333333333333
2025\Monaco,2.5555555555555554,14.88888888888889,3.858612300930075,0.44685242518059853,2.0,0.7234262125902993,0.6862745098039217
2025\Montreal,1.7647058823529411,7.529411764705882,2.7439773622801416,0.6862745098039216,1.0,0.8431372549019609,0.7499999999999999
2025\Monza,1.3333333333333333,4.222222222222222,2.0548046676563256,0.8431372549019608,1.0,0.9215686274509803,0.8300653594771243
2025\Sakhir,1.2222222222222223,5.111111111111111,2.260776661041756,0.8101135190918473,1.0,0.9050567595459237,0.8169934640522877
2025\Sao Paulo,1.8823529411764706,6.9411764705882355,2.6346112560657287,0.7107843137254901,1.0,0.8553921568627452,0.7205882352941176
2025\Shanghai,2.875,11.75,3.427827300200522,0.44705882352941173,3.0,0.7235294117647059,0.6
2025\Silverstone,4.133333333333334,23.6,4.857983120596447,-0.26428571428571423,4.0,0.36785714285714277,0.29523809523809524
2025\Spa-Francorchamps,2.9,15.3,3.9115214431215892,0.5398496240601504,2.0,0.7699248120300751,0.6842105263157895
2025\Spielberg,1.875,10.875,3.29772648956823,0.4882352941176471,1.0,0.7441176470588236,0.7333333333333334
2025\Suzuka,0.6,1.6,1.2649110640673518,0.9518796992481203,0.0,0.9759398496240601,0.9368421052631579
2025\Yas Island,2.5,11.7,3.420526275297414,0.6481203007518797,1.5,0.8240601503759398,0.7157894736842105
2025\Zandvoort,2.9411764705882355,14.823529411764707,3.8501336875184875,0.38235294117647056,3.0,0.6911764705882353,0.6029411764705882
